Weak_foot,Ball_Control,Dribbling,Marking,Attacking_Position,Interceptions,Short_Pass,Long_Pass,Acceleration,Speed,Strength,Agility,Jumping,Heading,Shot_Power,Curve,Rating,edad,Club_Pos_Num
4,84,85,67,75,70,83,81,66,69,78,66,49,57,81,80,81,29,25
2,59,46,80,33,81,69,67,54,68,85,52,75,83,46,33,81,33,7
3,79,81,33,81,35,75,65,92,93,62,83,66,58,76,76,81,28,21
4,75,74,84,66,79,70,64,75,74,81,68,84,79,69,66,81,34,16
4,72,60,78,41,80,74,76,53,55,82,54,65,83,67,51,81,34,7
3,83,87,22,83,37,78,68,76,74,68,77,76,76,76,72,81,32,11
3,77,75,22,81,51,73,68,75,72,88,66,70,80,84,77,81,32,26
2,78,78,33,79,36,77,64,79,77,77,69,65,65,92,80,81,32,26
3,79,72,36,80,32,75,66,64,65,88,67,79,83,85,68,81,32,26
3,76,73,84,71,85,72,64,67,68,79,71,84,76,66,68,81,32,27
3,83,72,78,76,85,85,87,69,81,72,71,67,60,83,86,81,35,16
3,22,14,13,13,23,24,22,38,42,71,39,73,11,24,10,81,36,4
3,81,83,11,86,37,69,45,80,77,61,87,76,73,77,72,81,36,26
2,64,44,82,48,84,66,76,67,75,90,51,67,83,79,80,81,34,27
3,14,15,13,14,24,27,29,44,45,79,65,76,13,22,11,81,33,4
2,24,13,13,10,11,31,35,46,34,57,54,62,12,21,16,81,33,27
4,23,11,13,15,19,34,34,40,46,70,35,59,16,21,10,81,33,4
4,77,78,24,87,19,68,43,78,77,62,83,74,68,88,63,81,35,26
4,83,68,68,50,77,84,85,42,41,83,47,83,79,82,67,81,35,27
4,81,82,17,82,20,78,51,76,78,76,74,75,76,83,80,81,33,27
3,32,27,19,12,25,23,21,39,43,72,69,75,18,14,16,81,38,27
4,80,74,22,81,42,60,60,64,64,86,63,76,85,85,78,81,39,-1
4,82,83,23,78,41,82,80,83,83,56,84,70,47,71,82,81,34,27
4,60,45,82,38,83,66,62,33,34,85,44,80,90,61,44,81,37,27
3,80,80,20,83,39,76,71,73,75,70,79,85,73,85,78,81,36,26
3,83,70,53,74,71,84,83,54,55,76,60,76,75,77,75,81,36,27
3,82,85,32,78,43,73,60,93,93,48,94,65,51,73,86,80,22,21
3,83,86,26,79,32,75,64,92,91,63,86,66,72,78,81,80,21,13
3,77,72,67,55,86,89,83,74,69,62,75,64,63,57,48,81,22,18
3,86,86,24,78,28,78,70,81,82,76,86,70,49,84,80,80,24,0
4,81,78,73,77,74,80,83,79,78,70,83,76,60,78,76,80,26,8
3,81,80,28,76,21,77,66,92,95,84,86,84,67,85,49,80,23,23
2,22,19,19,18,29,32,19,48,38,66,55,68,18,19,14,80,25,27
4,88,86,17,75,31,76,64,90,92,78,79,66,58,75,70,80,22,13
3,61,49,82,29,81,59,59,63,69,86,54,68,82,39,29,80,26,27
2,81,83,63,76,66,79,70,85,82,69,83,72,54,79,79,80,22,11
3,79,86,11,75,23,78,62,94,93,58,88,73,52,76,84,80,21,27
2,21,16,20,13,11,27,20,44,35,78,30,52,19,21,19,80,25,27
4,78,77,76,76,77,84,80,75,67,65,83,79,70,75,76,80,22,27
4,81,86,25,78,29,80,68,81,83,63,81,63,42,77,69,80,21,11
4,86,88,44,76,19,76,66,86,85,40,90,34,35,73,71,80,24,27
4,82,86,21,75,38,72,68,94,92,55,93,78,52,81,75,80,23,11
3,65,60,85,29,85,63,59,61,67,81,61,81,77,58,45,80,23,27
3,82,83,74,75,86,83,74,84,75,52,88,64,61,78,80,80,24,11
2,78,75,79,67,80,76,74,74,75,77,72,72,75,75,71,80,24,19
3,76,75,48,83,49,66,48,94,92,69,77,70,64,85,59,81,30,12
2,85,80,40,75,59,77,75,75,72,62,76,42,53,82,90,80,24,8
4,82,82,23,79,43,80,68,79,72,63,86,53,45,72,74,80,26,5
4,82,81,69,77,78,85,78,74,73,76,75,79,83,74,63,80,23,8
3,64,57,80,34,82,62,50,64,74,78,52,92,82,46,32,80,28,17
3,78,64,80,63,82,81,77,71,64,78,60,71,69,75,53,80,28,9
2,76,79,79,73,79,75,64,83,88,80,80,68,67,62,63,80,22,27
3,82,80,17,85,28,76,55,79,81,72,78,70,79,73,70,80,25,27
3,67,59,82,33,76,70,65,76,78,81,63,72,77,70,34,80,24,7
3,66,35,81,30,78,69,67,66,74,78,64,81,79,44,29,80,24,7
3,85,84,40,77,62,84,79,82,80,55,83,58,44,76,82,80,23,27
3,67,48,80,53,78,62,56,69,77,85,48,86,77,56,59,80,23,27
3,62,65,80,40,82,70,69,69,78,84,60,74,85,50,30,80,24,7
3,77,76,75,67,76,74,59,96,94,61,84,65,60,52,63,80,22,16
3,80,85,28,80,39,79,71,86,77,59,91,64,38,78,80,80,24,27
3,77,73,59,82,72,80,75,72,73,74,67,85,75,79,62,80,24,18
4,80,76,22,84,44,78,64,78,79,61,90,80,79,79,76,80,27,12
4,84,84,22,75,28,75,70,90,90,74,86,49,43,79,77,80,25,27
3,80,76,78,76,76,81,71,82,76,72,75,81,76,69,73,80,25,6
4,84,87,47,77,68,86,74,76,74,66,81,73,55,79,75,80,24,21
2,63,57,82,45,80,61,61,76,78,78,78,86,80,68,38,80,25,7
4,85,84,26,78,30,83,78,74,78,69,72,64,57,73,80,80,26,27
4,77,76,78,76,78,76,70,80,83,75,69,82,66,69,77,80,25,16
4,71,55,80,37,81,75,61,74,72,77,60,81,79,54,55,80,27,27
3,87,83,28,78,46,82,74,69,75,68,70,34,58,86,77,80,29,27
3,81,79,17,80,44,81,67,78,77,82,73,77,69,85,79,80,25,0
3,78,77,76,78,84,80,76,79,76,76,79,69,59,70,65,80,26,27
3,80,81,56,80,74,82,80,74,71,80,71,69,53,75,75,80,31,0
3,80,74,78,69,79,85,77,78,79,75,69,54,61,65,70,80,25,27
3,86,87,36,73,23,71,63,89,89,72,86,50,43,75,54,80,25,11
3,84,80,18,78,18,74,64,79,79,76,74,76,73,87,78,80,26,26
3,73,67,76,63,83,77,75,66,73,82,54,76,78,78,42,80,27,27
3,79,83,27,82,29,78,64,87,88,56,86,69,55,78,74,80,26,21
3,57,56,76,33,79,69,72,50,66,93,31,62,80,63,26,80,27,17
4,82,81,54,75,66,84,83,76,75,62,87,71,50,80,83,80,25,9
3,77,69,83,53,82,78,84,69,74,75,72,74,68,87,75,80,28,7
3,69,60,81,42,79,75,67,55,68,80,43,83,75,68,38,80,25,27
2,23,15,14,12,25,21,32,46,44,74,47,69,15,40,12,80,30,27
2,24,19,19,11,15,36,36,53,49,63,59,79,14,28,12,80,28,27
3,80,69,75,46,80,70,68,75,76,69,78,82,63,74,78,80,26,16
3,82,79,45,82,51,78,74,76,78,75,75,76,58,87,78,80,27,15
4,83,84,49,74,66,83,80,77,73,63,87,74,67,78,78,80,27,13
3,17,19,10,10,21,30,25,47,51,64,45,69,16,21,12,80,27,4
3,74,73,79,71,77,78,70,79,83,75,79,83,73,72,66,80,27,16
4,83,82,48,75,69,84,78,79,78,69,83,65,65,81,79,80,26,11
5,84,90,37,76,56,74,68,86,79,39,90,72,68,66,85,80,24,21
4,75,67,78,60,84,79,76,68,67,77,64,79,78,77,57,80,28,18
3,22,12,19,17,23,41,32,54,52,80,53,59,14,25,16,80,24,27
4,80,84,38,77,46,79,74,79,76,52,84,63,40,64,75,80,25,5
4,82,81,40,80,52,74,70,91,90,62,85,87,67,75,75,80,27,21
2,87,84,25,76,36,74,57,86,87,55,85,60,51,74,80,80,25,27
3,85,84,35,80,26,80,72,81,79,54,85,41,53,62,80,80,27,23
3,17,13,15,8,23,29,25,41,46,78,45,67,18,38,15,80,30,4
2,72,63,78,57,81,71,66,68,74,85,61,79,72,47,59,80,26,27
3,78,72,78,64,85,78,72,69,70,76,76,80,60,71,55,80,26,9
2,71,67,79,54,75,74,66,75,79,75,67,72,74,74,74,80,29,27
4,81,83,27,73,32,81,76,77,76,59,81,61,45,79,79,80,27,0
3,84,85,41,74,47,86,84,36,34,67,67,33,65,77,80,80,28,27
4,78,77,26,83,32,77,62,86,85,75,75,67,70,80,78,80,27,26
3,80,78,77,75,74,83,80,73,73,71,77,79,75,75,76,80,32,8
3,81,82,72,78,78,79,79,81,81,75,85,79,56,84,72,80,29,27
2,22,12,11,15,21,25,22,46,50,55,43,69,13,21,11,80,28,27
3,78,81,23,81,22,77,64,87,85,78,85,80,75,77,61,80,27,11
4,80,73,70,74,76,81,83,68,68,74,69,56,61,76,70,80,27,18
3,74,78,75,69,80,73,77,69,66,78,64,81,79,91,85,80,32,27
5,75,74,81,64,79,75,66,80,80,65,80,72,70,69,69,80,28,27
2,78,87,32,76,41,76,74,92,85,47,94,72,44,80,84,80,29,25
5,87,86,24,78,36,82,69,85,79,55,80,64,57,73,72,80,29,27
3,59,61,81,30,84,68,67,70,73,84,60,74,78,71,51,80,29,27
4,83,81,32,83,39,83,76,74,71,69,76,66,54,79,75,80,29,12
5,78,76,10,82,10,67,59,53,62,85,51,79,85,82,73,80,29,22
2,80,84,45,73,54,79,67,87,85,77,88,56,68,81,77,80,30,27
4,88,85,26,80,30,78,64,78,81,75,80,70,68,82,85,80,28,26
4,81,83,22,71,23,79,63,86,89,76,75,73,63,80,71,80,30,21
3,66,58,87,61,82,68,56,63,66,85,57,83,87,73,70,80,33,17
4,85,83,18,85,24,76,58,86,84,60,81,54,60,80,80,80,31,27
2,20,12,12,12,20,30,24,32,49,79,43,69,13,24,25,80,31,27
3,77,73,79,61,82,77,61,75,75,65,74,75,67,71,74,80,31,6
4,74,63,80,39,79,76,78,67,66,78,59,81,82,64,37,80,30,27
3,80,72,75,66,80,84,81,65,58,66,80,74,63,84,83,80,31,27
3,82,80,54,75,57,78,71,78,78,73,86,92,80,75,74,80,28,27
3,57,43,81,42,80,62,62,71,74,81,57,74,83,72,33,80,29,7
3,74,69,78,49,85,77,73,55,53,76,70,82,65,71,66,80,30,27
4,83,79,59,77,67,80,77,75,73,86,77,85,74,84,81,80,30,26
2,68,56,82,35,74,74,68,67,67,78,68,75,84,63,48,80,29,7
5,74,72,79,65,75,75,72,79,83,69,79,70,70,60,62,80,31,6
3,81,80,59,74,74,82,77,75,76,68,79,59,67,86,79,80,28,8
4,79,72,76,62,77,76,66,68,73,69,65,74,83,70,70,80,30,25
2,84,80,60,67,72,84,82,78,77,57,82,74,55,74,70,80,31,2
4,85,80,52,80,65,84,78,72,71,65,75,69,57,72,80,80,27,27
3,76,74,79,63,77,76,70,81,79,72,76,71,69,59,74,80,28,6
3,58,54,82,30,79,57,53,55,66,89,34,70,84,67,30,80,31,27
2,18,15,16,10,20,23,28,50,51,66,52,68,11,20,11,80,30,4
4,82,71,72,70,77,81,78,66,68,68,72,70,69,78,77,80,31,8
3,69,73,76,60,87,67,65,86,80,72,69,71,66,75,65,80,30,6
3,78,76,78,66,82,76,74,79,78,76,70,70,72,80,72,80,33,16
3,61,49,82,40,80,74,59,52,51,78,59,86,81,50,33,80,32,17
3,54,50,84,28,84,55,60,55,55,87,50,80,76,60,48,80,31,17
2,22,14,11,15,16,20,32,50,47,65,52,68,11,14,18,80,32,4
3,25,14,15,14,23,36,32,50,48,57,45,75,14,27,15,80,34,4
4,76,72,20,85,30,76,47,54,64,79,66,72,82,80,73,80,33,26
4,63,49,83,54,82,73,67,46,49,83,55,64,81,74,36,80,32,17
4,76,75,75,78,82,76,74,74,77,75,66,66,60,81,67,80,27,27
3,22,15,17,11,17,23,22,51,50,72,53,62,18,24,19,80,31,4
4,82,77,45,74,69,81,80,69,70,67,78,67,58,83,85,80,34,18
3,12,12,12,14,23,29,24,44,44,76,58,73,10,19,14,80,33,4
2,21,15,18,10,17,35,35,44,43,55,50,62,13,23,17,80,34,4
3,20,11,19,12,22,36,35,55,50,62,60,84,12,20,14,80,34,4
4,78,77,76,77,76,85,82,71,69,73,73,64,69,85,81,80,31,6
3,35,18,15,10,28,39,35,57,58,65,67,73,17,23,12,80,34,27
3,78,76,73,58,84,82,82,64,58,67,77,78,52,68,62,80,33,9
4,80,74,75,64,80,85,76,68,75,78,69,60,75,73,67,80,34,19
5,79,72,80,56,83,78,76,67,68,82,66,80,76,84,60,80,31,19
3,81,72,68,75,83,84,84,50,52,77,67,80,78,82,82,82,33,8
3,20,13,12,7,17,39,36,46,37,66,49,69,10,23,12,80,32,4
3,79,65,68,66,83,80,76,49,47,79,57,66,70,76,53,80,34,2
3,62,49,81,51,81,71,66,60,64,83,51,83,79,69,55,80,35,17
3,20,12,11,10,25,36,34,33,41,74,52,74,10,21,14,80,38,4
3,82,82,23,84,34,74,75,66,64,65,69,57,75,83,86,80,34,27
3,76,68,79,58,82,83,74,32,34,77,52,70,74,77,78,80,36,27
5,91,82,14,80,24,90,85,43,34,75,59,34,42,88,75,80,41,27
3,26,20,12,14,26,30,24,46,50,68,60,68,12,24,12,79,18,4
3,75,77,74,73,74,70,53,90,92,59,88,80,58,68,60,79,24,16
3,76,73,27,84,51,62,53,81,79,75,79,79,76,79,54,79,24,26
4,84,80,67,79,78,78,76,69,75,86,68,85,86,78,72,79,22,8
4,76,71,35,77,43,69,64,79,76,83,74,75,77,84,69,79,28,26
3,79,76,74,66,76,81,79,74,75,70,70,61,57,80,55,79,28,27
3,60,59,79,43,81,67,60,66,68,79,55,81,79,61,35,79,23,7
3,82,82,55,69,77,80,73,82,72,59,90,56,42,76,63,79,22,19
3,76,75,76,60,78,79,76,71,72,81,66,78,72,72,49,79,23,9
4,82,81,63,65,67,82,78,78,65,58,84,70,42,72,58,79,21,9
3,65,63,76,51,80,65,60,68,76,86,65,88,75,72,22,79,23,27
4,80,84,23,82,43,75,63,91,92,30,91,65,56,71,76,79,24,27
3,81,65,65,58,82,85,81,58,47,73,66,64,46,74,61,79,27,9
3,68,61,77,38,81,66,58,64,69,80,66,88,82,69,37,79,28,27
4,85,87,46,79,45,65,56,86,80,59,87,54,61,78,82,79,22,27
3,71,68,81,32,77,75,69,64,68,68,54,72,78,31,32,79,21,17
3,79,77,70,68,78,82,76,68,66,71,75,54,48,84,69,79,23,19
2,23,13,18,18,16,31,21,49,47,67,36,69,17,22,12,79,27,4
3,76,78,30,80,28,75,59,87,85,82,77,73,73,77,54,79,22,27
4,82,86,32,74,41,81,72,82,68,37,91,59,37,54,74,79,22,27
3,76,77,77,72,76,78,75,85,88,61,81,75,60,58,80,79,22,6
3,78,78,64,77,75,82,76,69,69,78,75,69,72,82,71,79,23,18
3,79,81,23,78,34,69,67,92,93,47,90,72,60,75,78,79,29,0
4,74,72,77,63,78,74,68,79,84,69,76,69,66,68,40,79,23,16
3,80,81,78,80,69,78,73,93,92,66,80,73,64,80,81,79,23,27
3,66,58,82,26,80,66,66,65,69,78,59,74,76,60,36,79,22,7
4,83,82,48,75,70,81,77,83,83,55,77,55,52,76,80,79,23,18
3,84,83,73,74,74,76,66,89,92,69,83,69,60,85,69,79,27,21
4,78,83,78,78,79,80,78,88,88,62,84,76,65,69,76,79,24,27
4,83,85,43,78,65,82,74,76,68,34,86,62,53,51,77,79,23,3
2,81,84,35,73,32,74,60,89,89,74,76,66,48,77,79,79,25,11
4,80,76,78,73,77,79,78,72,77,84,75,76,70,78,68,79,23,27
3,72,62,79,55,80,75,74,54,73,81,59,65,83,78,58,79,23,27
3,85,86,23,83,35,79,59,78,75,57,79,74,69,70,83,79,24,27
4,16,10,19,15,21,32,36,34,33,51,36,69,17,25,25,79,23,4
3,79,78,60,79,70,80,77,67,67,64,75,52,54,86,73,79,23,0
3,76,76,40,77,36,76,69,81,82,78,78,73,72,83,77,79,24,27
3,81,80,52,78,61,76,68,81,84,67,76,75,54,80,74,79,27,27
4,79,81,28,80,49,75,62,91,87,53,92,70,45,79,70,79,27,21
4,84,81,39,76,42,76,68,94,84,31,92,61,59,73,73,79,25,27
3,83,80,58,75,66,82,78,72,72,65,79,69,64,76,79,79,25,8
3,76,71,29,79,36,63,62,73,75,74,69,62,74,83,71,79,23,27
3,83,84,78,74,75,80,72,84,75,57,85,73,53,63,76,79,24,27
3,75,72,77,65,79,74,68,82,83,73,67,84,69,75,70,79,25,27
2,64,44,83,30,79,59,62,38,34,90,36,79,78,59,25,79,30,17
3,79,70,80,48,77,80,71,75,75,78,64,72,77,46,46,80,23,17
3,56,49,74,43,81,69,61,47,46,94,31,34,86,81,41,79,25,7
3,77,76,28,83,34,65,45,77,78,80,77,85,80,82,68,79,26,26
4,85,79,65,76,69,84,78,63,55,68,77,54,50,70,60,79,24,27
3,74,58,79,47,80,78,82,77,76,80,74,80,62,73,52,79,25,19
2,80,85,24,75,31,73,63,91,89,80,83,74,55,88,85,79,23,13
4,84,83,16,76,33,77,65,90,83,62,87,74,42,76,74,79,24,11
4,77,79,76,74,74,77,72,72,81,86,64,72,71,79,69,79,26,16
3,68,60,76,53,79,75,76,55,66,84,56,71,83,83,54,79,23,17
2,66,39,82,36,82,70,56,54,53,79,48,76,80,27,49,79,28,17
3,80,84,15,78,38,75,65,86,84,65,87,66,65,83,76,79,26,27
3,82,81,33,75,32,80,73,76,72,59,83,70,57,77,81,79,27,27
4,75,74,74,64,74,74,70,77,84,75,69,73,70,80,73,79,26,6
2,65,60,80,51,79,69,69,68,72,77,69,75,77,61,55,79,27,27
3,81,78,62,73,71,81,75,74,65,46,84,77,41,76,78,79,27,0
4,76,76,76,71,76,75,69,83,83,62,76,73,65,80,66,79,26,16
3,58,54,84,23,82,54,54,75,77,77,73,81,76,52,38,79,27,27
3,23,11,11,10,24,17,21,44,40,55,36,60,10,18,20,79,26,4
3,79,73,74,67,77,80,69,81,82,72,70,75,64,77,68,79,24,27
4,79,72,26,87,26,72,51,74,73,63,76,75,77,80,66,79,24,27
5,78,84,17,80,29,75,62,85,86,60,79,65,65,82,79,79,25,27
2,81,69,70,70,80,85,79,51,55,75,62,59,74,63,59,79,29,18
3,82,80,35,75,45,79,78,78,71,40,86,50,65,72,75,79,26,0
4,80,79,63,79,80,82,78,74,73,64,74,70,65,75,78,79,28,27
2,85,83,40,73,31,81,77,72,70,64,81,65,63,69,83,79,29,13
4,78,73,73,75,81,77,69,77,82,79,75,75,68,85,74,79,26,27
4,81,85,26,75,25,82,72,77,78,58,82,53,61,77,80,79,25,21
4,82,85,39,74,43,77,73,89,89,70,84,65,39,77,67,79,24,19
4,79,78,79,70,81,80,75,61,59,78,64,77,67,80,72,79,28,19
3,66,55,76,46,81,74,67,49,58,90,60,72,75,72,47,79,26,7
3,80,81,71,75,78,83,76,79,75,77,75,72,62,79,65,79,25,27
4,83,78,29,76,42,81,75,75,69,60,79,71,42,71,81,79,28,21
3,80,83,20,77,47,77,64,84,78,67,78,76,56,78,78,79,29,27
3,63,59,76,49,74,75,76,62,69,90,52,80,81,86,43,79,26,17
4,79,76,29,81,40,73,46,64,68,86,59,56,75,83,63,79,26,26
4,80,80,26,78,61,81,69,74,77,68,80,44,52,81,80,79,26,25
4,80,83,24,73,59,77,76,82,79,66,78,65,34,67,73,79,26,21
3,68,51,82,26,78,65,69,53,71,86,41,60,75,69,39,79,30,25
4,77,80,32,83,31,79,65,82,87,77,90,85,66,79,72,79,26,5
3,78,69,76,62,78,78,65,84,85,62,81,83,66,75,67,79,29,6
4,79,79,42,76,39,78,75,79,79,66,82,60,63,77,78,79,30,21
2,76,67,75,61,81,75,77,74,80,69,75,79,63,81,72,79,28,6
3,78,78,74,70,70,74,72,76,82,78,69,68,70,76,63,79,27,14
3,69,44,77,41,81,75,77,45,50,81,41,55,80,77,74,79,28,27
4,76,77,75,66,76,86,79,79,77,80,72,68,66,84,66,79,32,19
3,79,77,70,76,78,78,76,69,69,90,71,78,76,86,68,79,30,18
4,34,15,16,11,21,37,38,57,45,63,54,57,19,25,13,79,26,4
3,81,76,76,78,82,82,80,65,58,66,70,53,51,69,78,79,27,3
4,86,84,23,78,32,78,68,83,79,65,81,63,48,76,80,79,26,13
4,50,46,78,39,78,60,58,71,77,88,65,86,80,67,47,79,26,7
3,82,80,14,72,46,86,73,65,63,56,70,34,38,61,81,79,26,27
4,78,67,79,54,77,75,72,75,77,72,68,78,70,61,76,79,29,6
3,78,77,77,77,74,76,69,84,79,72,78,80,62,70,75,79,27,27
3,80,78,64,70,77,81,79,74,68,65,79,65,59,71,78,79,27,3
3,78,72,24,81,28,63,46,72,77,87,59,75,78,85,40,79,28,26
4,68,62,80,65,85,69,62,69,74,80,67,80,76,69,32,79,26,7
3,85,85,20,72,23,77,75,85,79,45,87,76,56,73,75,79,24,0
3,72,72,77,65,81,75,68,62,69,92,72,81,73,79,62,79,26,18
3,74,65,77,46,80,78,70,66,77,93,60,62,55,73,36,79,27,18
3,76,64,79,54,76,77,76,73,75,75,68,82,74,58,37,79,27,27
2,19,14,12,17,27,34,29,49,61,61,58,74,16,14,16,79,29,4
3,77,80,34,78,29,74,65,90,92,67,70,83,73,79,79,79,30,26
4,81,80,65,74,70,84,80,81,84,59,69,77,60,72,64,79,29,27
3,78,71,25,83,30,71,55,69,73,93,50,60,88,79,65,79,29,26
3,55,50,80,32,78,67,62,69,69,80,58,88,78,56,44,79,29,27
3,73,73,73,41,83,82,81,79,72,75,73,71,61,68,70,79,27,9
2,75,74,78,65,79,74,65,79,83,69,73,70,68,72,64,79,28,27
3,82,71,69,74,74,76,73,86,82,69,74,70,66,84,82,79,31,16
3,84,85,25,77,31,73,67,86,89,55,86,72,60,79,57,79,28,21
2,72,62,78,59,83,75,73,66,68,81,74,72,70,76,65,79,30,27
3,76,66,75,42,82,83,74,55,51,70,59,76,78,63,52,79,30,27
2,31,12,15,17,24,39,38,45,48,80,68,74,19,36,14,79,31,27
2,78,78,69,76,76,79,74,79,82,86,74,80,70,85,75,79,28,27
3,76,77,77,71,78,76,70,77,76,68,76,76,67,76,66,79,33,16
2,76,69,80,44,80,71,68,51,59,88,51,63,74,61,36,79,28,7
3,76,70,74,56,83,77,74,75,69,87,66,73,62,76,52,79,29,2
3,82,73,70,65,76,83,85,68,61,75,69,74,67,83,86,79,31,8
3,35,25,18,14,26,43,44,66,63,58,64,79,14,25,19,79,30,4
4,81,83,65,75,72,76,70,83,76,57,86,69,42,75,74,79,31,27
4,77,79,70,78,65,79,72,84,89,63,76,69,60,69,72,79,30,11
3,75,72,29,79,46,73,65,72,75,84,46,75,78,81,76,79,32,25
2,85,85,45,78,49,80,72,68,69,61,79,56,75,80,83,79,32,11
4,77,72,12,83,28,72,51,74,75,76,71,74,77,79,66,79,31,26
2,74,65,77,70,82,75,72,54,58,83,53,49,87,81,53,79,31,9
3,32,12,10,16,25,36,32,34,34,38,44,75,15,35,10,79,29,27
4,83,83,40,80,50,76,70,80,75,67,84,46,45,80,76,79,32,27
3,84,82,31,75,41,80,76,74,76,78,68,68,60,84,78,79,31,0
4,86,88,52,74,60,80,76,79,75,57,79,66,50,80,80,78,31,27
3,65,54,80,40,81,73,67,67,71,76,57,73,83,65,39,79,30,7
2,24,14,13,16,21,39,34,55,59,72,28,69,16,45,16,79,29,4
3,25,12,14,11,21,38,36,47,44,75,52,63,12,14,12,79,30,27
3,73,72,73,68,77,77,75,78,77,66,68,80,66,68,71,79,31,6
2,63,55,82,22,82,58,64,65,69,83,54,81,76,63,31,79,31,7
4,76,79,27,80,32,74,64,86,85,77,86,80,77,78,75,79,31,27
3,78,76,30,83,36,78,76,69,67,64,73,68,68,79,80,79,31,0
3,81,80,65,67,81,82,82,59,50,71,78,71,61,72,83,78,29,25
2,68,39,78,28,81,72,62,69,67,73,50,80,81,42,32,79,29,7
3,60,45,86,25,86,60,64,55,55,76,50,76,72,72,34,79,33,17
3,78,59,77,43,80,81,82,52,41,77,45,69,80,77,70,79,33,27
3,69,66,85,55,85,71,67,75,75,77,71,65,70,79,45,79,31,6
2,59,55,81,39,79,75,73,33,48,82,56,77,83,67,59,79,32,27
3,86,83,14,82,18,76,66,83,82,55,84,65,63,74,78,79,30,27
3,77,67,15,85,25,71,49,52,57,91,40,56,90,79,57,79,32,26
3,76,72,39,79,38,73,46,66,70,85,59,73,81,84,61,79,32,26
3,74,72,78,64,75,75,73,75,72,71,76,81,74,74,74,79,32,25
4,82,81,36,73,54,81,74,78,77,59,77,75,46,75,79,79,31,27
3,79,80,17,77,39,77,73,82,83,78,75,65,58,81,81,79,33,25
4,83,82,62,70,68,79,80,83,76,69,82,74,59,83,77,79,31,0
3,66,38,80,36,80,63,65,49,54,82,50,72,85,52,30,79,30,27
4,79,79,31,84,33,78,69,69,69,73,74,79,76,82,72,79,34,0
3,79,77,72,72,72,82,84,69,69,80,76,66,68,79,72,79,30,2
4,84,83,48,70,52,81,82,68,68,76,77,71,73,78,82,79,31,22
3,74,65,80,50,82,75,77,54,64,76,65,80,79,55,42,79,40,17
4,78,80,31,75,42,83,80,74,72,65,83,72,79,72,76,79,33,0
4,76,71,76,66,76,64,69,80,83,66,77,70,70,52,64,79,32,6
4,75,69,20,81,27,73,44,64,67,76,65,77,80,81,73,79,34,27
2,58,50,74,36,79,65,58,32,38,90,34,61,82,73,36,79,36,17
3,49,45,85,37,78,74,79,52,59,85,34,72,78,71,51,79,35,17
3,78,73,80,64,76,80,74,73,73,62,77,70,59,67,62,79,33,19
3,78,74,52,77,42,80,69,81,80,68,78,64,59,73,86,79,33,27
3,80,82,27,74,33,76,74,89,88,34,87,62,47,75,80,79,32,27
3,82,76,15,77,63,85,83,53,55,61,52,46,75,73,81,79,34,18
3,74,62,71,58,83,78,72,61,56,77,64,70,60,72,70,79,33,19
3,12,19,14,17,16,36,23,35,35,43,32,77,13,14,19,79,33,4
4,80,77,25,81,59,75,68,75,80,73,82,79,76,77,76,79,34,12
3,18,10,11,16,23,31,32,47,50,56,65,75,19,25,14,79,32,4
3,70,68,80,52,72,68,75,62,55,88,65,92,79,83,77,79,36,17
3,65,69,20,86,33,66,60,83,82,77,72,66,72,85,66,79,32,25
3,22,16,10,7,22,32,31,42,44,76,44,71,15,22,15,79,34,4
3,82,80,34,76,36,78,72,82,78,48,85,75,52,74,82,79,30,21
2,83,75,81,71,78,82,82,71,74,70,76,72,68,71,72,79,36,27
3,83,70,58,69,71,83,85,54,51,80,65,75,65,84,85,79,35,8
3,29,13,11,13,22,33,32,50,48,71,48,73,12,26,14,79,38,4
3,22,16,9,9,12,29,41,49,48,81,60,75,18,38,11,78,29,27
3,79,83,22,81,38,73,56,92,90,61,86,66,68,75,67,78,20,27
3,75,73,38,72,60,80,70,90,88,56,88,70,47,69,69,78,23,25
4,83,85,20,79,32,74,66,88,85,61,92,63,61,73,76,78,20,27
3,82,81,35,80,29,76,69,72,73,59,71,59,44,73,63,78,20,13
3,78,77,34,83,55,67,58,78,85,76,77,84,77,76,69,78,22,22
3,77,75,18,81,38,63,54,83,84,85,74,76,76,77,68,78,26,12
3,73,70,76,79,81,77,78,58,53,76,58,64,51,63,37,78,24,18
3,76,79,53,66,63,76,71,85,84,70,81,69,55,77,78,78,26,11
3,69,37,80,25,79,72,62,72,68,71,67,80,80,48,34,78,20,17
3,76,74,37,76,52,74,73,87,84,65,83,40,44,68,81,78,26,27
4,83,82,21,80,21,71,56,81,83,76,82,75,69,75,73,78,21,27
2,77,66,82,76,75,79,82,56,60,94,48,80,88,79,60,78,31,18
3,78,83,18,75,37,69,63,94,93,63,90,72,60,78,75,78,25,13
3,71,70,73,59,81,78,66,64,68,72,66,74,58,77,63,78,24,19
3,81,80,17,77,30,77,61,85,83,54,86,63,39,79,64,78,22,13
3,22,17,14,13,21,23,18,48,49,58,32,60,14,24,14,78,37,4
4,77,85,43,74,58,71,63,90,88,54,81,62,54,74,78,78,30,11
2,77,79,71,69,76,75,65,87,86,64,77,68,52,60,66,78,24,6
4,80,81,20,81,21,68,50,78,69,67,78,69,69,79,68,78,26,12
2,73,72,75,70,72,72,66,79,85,69,75,69,60,74,69,78,25,16
